"cm","iter","acc","auc"
"svmrad","20",0.454545454545455,0.364661654135338
"rf","20",0.515151515151515,0.460526315789474
"l2","21",0.545454545454545,0.454887218045113
"l1","21",0.575757575757576,0.5
"svmsig","21",0.454545454545455,0.533834586466165
"svmrad","21",0.545454545454545,0.533834586466165
"rf","21",0.454545454545455,0.381578947368421
"l2","22",0.575757575757576,0.631578947368421
"l1","22",0.575757575757576,0.5
"svmsig","22",0.454545454545455,0.590225563909775
"svmrad","22",0.454545454545455,0.590225563909775
"rf","22",0.545454545454545,0.684210526315789
"l2","23",0.575757575757576,0.473684210526316
"l1","23",0.575757575757576,0.5
"svmsig","23",0.515151515151515,0.43984962406015
"svmrad","23",0.515151515151515,0.43984962406015
"rf","23",0.575757575757576,0.535714285714286
"l2","24",0.545454545454545,0.541353383458647
"l1","24",0.545454545454545,0.379699248120301
"svmsig","24",0.454545454545455,0.552631578947368
"svmrad","24",0.515151515151515,0.552631578947368
"rf","24",0.515151515151515,0.603383458646617
"l2","25",0.5625,0.5
"l1","25",0.5625,0.5
"svmsig","25",0.5625,0.261904761904762
"svmrad","25",0.59375,0.738095238095238
"rf","25",0.46875,0.51984126984127
"l2","26",0.545454545454545,0.492481203007519
"l1","26",0.575757575757576,0.5
"svmsig","26",0.545454545454545,0.518796992481203
"svmrad","26",0.606060606060606,0.518796992481203
"rf","26",0.606060606060606,0.597744360902256
"l2","27",0.575757575757576,0.503759398496241
"l1","27",0.575757575757576,0.5
"svmsig","27",0.575757575757576,0.522556390977444
"svmrad","27",0.575757575757576,0.522556390977444
"rf","27",0.575757575757576,0.460526315789474
"l2","28",0.575757575757576,0.695488721804511
"l1","28",0.575757575757576,0.5
"svmsig","28",0.606060606060606,0.661654135338346
"svmrad","28",0.575757575757576,0.661654135338346
"rf","28",0.454545454545455,0.526315789473684
"l2","29",0.53125,0.714285714285714
"l1","29",0.5625,0.5
"svmsig","29",0.53125,0.686507936507937
"svmrad","29",0.5625,0.686507936507937
"rf","29",0.625,0.771825396825397
"l2","30",0.575757575757576,0.612781954887218
"l1","30",0.575757575757576,0.5
"svmsig","30",0.636363636363636,0.650375939849624
