"cm","iter","acc","auc"
"svmsig","12",0.6,0.625
"svmrad","12",0.6,0.625
"rf","12",0.4,0.541666666666667
"l2","13",0.7,0.625
"l1","13",0.7,0.5
"svmsig","13",0.7,0.666666666666667
"svmrad","13",0.8,0.666666666666667
"rf","13",0.6,0.625
"l2","14",0.636363636363636,0.642857142857143
"l1","14",0.636363636363636,0.5
"svmsig","14",0.636363636363636,0.678571428571429
"svmrad","14",0.636363636363636,0.678571428571429
"rf","14",0.636363636363636,0.785714285714286
"l2","15",0.636363636363636,0.714285714285714
"l1","15",0.727272727272727,0.678571428571429
"svmsig","15",0.727272727272727,0.607142857142857
"svmrad","15",0.727272727272727,0.607142857142857
"rf","15",0.727272727272727,0.678571428571429
"l2","16",0.636363636363636,0.535714285714286
"l1","16",0.636363636363636,0.5
"svmsig","16",0.454545454545455,0.5
"svmrad","16",0.636363636363636,0.5
"rf","16",0.545454545454545,0.5
"l2","17",0.6,0.625
"l1","17",0.6,0.5
"svmsig","17",0.6,0.583333333333333
"svmrad","17",0.6,0.583333333333333
"rf","17",0.6,0.541666666666667
"l2","18",0.6,0.5
"l1","18",0.6,0.5
"svmsig","18",0.9,0.875
"svmrad","18",0.6,0.875
"rf","18",0.9,0.875
"l2","19",0.636363636363636,0.607142857142857
"l1","19",0.636363636363636,0.785714285714286
"svmsig","19",0.636363636363636,0.607142857142857
"svmrad","19",0.545454545454545,0.607142857142857
"rf","19",0.636363636363636,0.714285714285714
"l2","20",0.583333333333333,0.5
"l1","20",0.666666666666667,0.771428571428571
"svmsig","20",0.75,0.657142857142857
"svmrad","20",0.75,0.657142857142857
"rf","20",0.666666666666667,0.742857142857143
"l2","21",0.636363636363636,0.714285714285714
"l1","21",0.636363636363636,0.821428571428572
"svmsig","21",0.818181818181818,0.678571428571429
"svmrad","21",0.636363636363636,0.678571428571429
"rf","21",0.727272727272727,0.785714285714286
"l2","22",0.545454545454545,0.75
"l1","22",0.818181818181818,0.678571428571429
"svmsig","22",0.545454545454545,0.75
"svmrad","22",0.636363636363636,0.75
"rf","22",0.545454545454545,0.678571428571429
"l2","23",0.636363636363636,1
"l1","23",0.818181818181818,0.857142857142857
"svmsig","23",0.818181818181818,0.892857142857143
"svmrad","23",0.818181818181818,0.892857142857143
"rf","23",0.818181818181818,0.857142857142857
"l2","24",0.6,0.791666666666667
"l1","24",0.8,0.916666666666667
"svmsig","24",0.8,0.75
"svmrad","24",0.6,0.75
"rf","24",0.7,0.791666666666667
"l2","25",0.545454545454545,0.433333333333333
"l1","25",0.545454545454545,0.5
"svmsig","25",0.545454545454545,0.4
"svmrad","25",0.545454545454545,0.4
"rf","25",0.545454545454545,0.516666666666667
"l2","26",0.6,0.875
"l1","26",0.7,0.708333333333333
"svmsig","26",0.8,0.875
"svmrad","26",0.6,0.875
"rf","26",0.6,0.791666666666667
"l2","27",0.636363636363636,0.464285714285714
"l1","27",0.636363636363636,0.5
"svmsig","27",0.454545454545455,0.464285714285714
"svmrad","27",0.454545454545455,0.464285714285714
"rf","27",0.727272727272727,0.464285714285714
"l2","28",0.583333333333333,0.685714285714286
"l1","28",0.583333333333333,0.8
"svmsig","28",0.583333333333333,0.657142857142857
"svmrad","28",0.666666666666667,0.657142857142857
"rf","28",0.583333333333333,0.6
"l2","29",0.636363636363636,0.75
"l1","29",0.545454545454545,0.571428571428571
"svmsig","29",0.727272727272727,0.785714285714286
"svmrad","29",0.727272727272727,0.785714285714286
"rf","29",0.636363636363636,0.785714285714286
"l2","30",0.6,0.833333333333333
"l1","30",0.6,0.666666666666667
"svmsig","30",0.9,0.958333333333333
"svmrad","30",0.6,0.958333333333333
"rf","30",0.8,1
"l2","31",0.6,0.541666666666667
"l1","31",0.5,0.75
"svmsig","31",0.4,0.458333333333333
"svmrad","31",0.5,0.458333333333333
"rf","31",0.7,0.708333333333333
"l2","32",0.636363636363636,0.607142857142857
"l1","32",0.636363636363636,0.357142857142857
"svmsig","32",0.545454545454545,0.428571428571429
